name, age, hometown, job
Becca Kufrin,27,"Prior Lake, Minnesota",Publicist
Arie Luyendyk Jr,36,"Scottsdale, Arizona", Real Estate Agent and Race Car Driver
Lauren Burnham,25,"Virginia Beach, Virginia",Technology Salesperson
Kendall Long,26,"Santa Clarita, California",Creative Director
Tia Booth,26,"Weiner, Arkansas",Physical Therapist
Bekah Martinez,22,"Fresno, California",Nanny
Seinne Fleming,27,"Long Beach, California",Commercial Real Estate Agent
Jacqueline Trumbull,26,"Morgantown, West Virginia",Research Coordinator
Chelsea Roy,29,"South Portland, Maine",Real Estate Executive Assistant
Jenna Cooper,28,"Upland, Indiana",Social Media Manager
Krystal Nielson,29,"Missoula, Montana",Fitness Coach
Ashley Luebke,25,"West Palm Beach, Florida",Real Estate Agent
Maquel Cooper,23,"American Fork, Utah",Photographer
Marikh Mathias,27,"Salt Lake City, Utah",Restaurant Owner
Brittany Taylor,30,"Belton, South Carolina",Tech Recruiter
Caroline Lunny,26,"Holliston, Massachusetts",Realtor
Bibiana Julian,30,"Miami, Florida",Executive Assistant
Annaliese Puccini,32,"San Mateo, California",Event Designer
Lauren Schleyer,31,"Dallas, Texas",Social Media Manager
Jennifer Delaney,25,"Northbrook, Illinois",Graphic Designer
Lauren Griffin,26,"Indianapolis, Indiana",Executive Recruiter
Valerie Biles,26,"Nashville, Tennessee",Server
Alison Harrington,27,"Lawton, Oklahoma",Personal Stylist
Amber Wilkerson,29,"Denver, Colorado",Business Owner
Brianna Amaranthus,25,"Grants Pass, Oregon",Sports Reporter
Brittane Johnson,27,"San Diego, California",Marketing Manager
Jessica Carroll,26,"Calgary, Alberta",Television Host
Lauren Jarreau,33,"New Roads, Louisiana",Recent Master's Graduate
D'Nysha Norris,30,"Anderson, South Carolina",Orthopedic Nurse
Olivia Goethals,23,"Geneseo, Illinois",Marketing Associate
